Réseau,Code Etablissement,Etablissement,Code agence,Agence,Adresse,Ville,Code postal,Emplacement,Horaires Automate,Typologie,Etat de fonctionnement,point_geographique,latitude,longitude
Bp,10207,Bp Rives De Paris,117,Diderot/00117,80 AVENUE DE FRANCE,Paris,75013.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.828436, 2.379077",48.828436,2.379077
Bp,10207,Bp Rives De Paris,87,Odeon/00087,110 BOULEVARD SAINT GERMAIN,Paris,75006.0,Sas,TLJ {06:00-22:00},Cge,disponible,"48.851896, 2.341723",48.851896,2.341723
Bp,10207,Bp Rives De Paris,23,Plaisance/00023,47 RUE DE GERGOVIE,Paris,75014.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.832844, 2.316487",48.832844,2.316487
Bp,10207,Bp Rives De Paris,58,Ballancourt/00058,1 PLACE HENRY VAUTRAVERS,Ballancourt Sur Essonne,91610.0,Sas,TLJ {06:00-22:00},Gab,disponible,"48.524779, 2.385",48.524779,2.385
Ce,17515,Ce Ile-De-France,260,Evry Le Parc/00260,CENTRE COMMERCIAL DU PARC,Evry,91000.0,Sas,TLJ {06:00-22:00},Gvv,disponible,"48.63701, 2.441972",48.63701,2.441972
Ce,17515,Ce Ile-De-France,260,Evry Le Parc/00260,CENTRE COMMERCIAL DU PARC,Evry,91000.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.63701, 2.441972",48.63701,2.441972
Ce,17515,Ce Ile-De-France,130,Paris Bibliotheque Nationale/00130,26 RUE NEUVE TOLBIAC,Paris,75013.0,Interne,Lun au Mer et Ven {10:30-17:00} Jeu {10:30-16:15},Udv,disponible,"48.831361, 2.377775",48.831361,2.377775
Bp,10548,Banque De Savoie,3000,Pontcharra/03000,15 AVENUE DU DAUPHINE,Pontcharra,38530.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"45.431438, 6.021383",45.431438,6.021383
Bp,16607,Bp Sud,7290,Banyuls Sur Mer/07290,3 AVENUE GENERAL DE GAULLE,Banyuls Sur Mer,66650.0,Sas,TLJ {07:00-22:00},Gvp,disponible,"42.480207, 3.129156",42.480207,3.129156
Bp,10207,Bp Rives De Paris,10207,Sevran/00202,7 AVENUE ROBERT BALLANGER,Sevran,93270.0,Sas,TLJ {06:00-22:00},Gab,disponible,"48.938238, 2.530722",48.938238,2.530722
Ce,17515,Ce Ile-De-France,17515,Paris Saint Germain Des Pres/00005,15 RUE DU FOUR,Paris,75006.0,Interne,Mar et Mer et Ven {09:30-13:00 14:15-18:15} Jeu {09:30-13:00 15:15-18:15} Sam {09:00-13:00},Car,disponible,"48.852733, 2.334873",48.852733,2.334873
Ce,17515,Ce Ile-De-France,17515,Paris Mouffetard/00003,2 RUE CLAUDE BERNARD,Paris,75005.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.838819, 2.350044",48.838819,2.350044
Ce,17515,Ce Ile-De-France,65,Levallois Perret/00065,52 RUE DU PRESIDENT WILSON,Levallois-Perret,92300.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.892075, 2.290442",48.892075,2.290442
Ce,17515,Ce Ile-De-France,65,Levallois Perret/00065,52 RUE DU PRESIDENT WILSON,Levallois-Perret,92300.0,Interne,Mar au Ven {09:30-12:15 14:00-18:30} Sam {09:00-12:15},Car,disponible,"48.892075, 2.290442",48.892075,2.290442
Bp,16807,Bp Auvergne Rhone Alpes,8,Bourg Saint Maurice/00008,13 PLACE DE LA GARE,Bourg-Saint-Maurice,73700.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"45.619052, 6.770764",45.619052,6.770764
Ce,14445,Ce Bretagne-Pays De Loire,323,Angers Monplaisir/00323,PLACE DE L EUROPE,Angers,49100.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"47.487847, -0.526513",47.487847,-0.526513
Bp,16807,Bp Auvergne Rhone Alpes,110,Valence Centre/00110,26 BOULEVARD GENERAL DE GAULLE,Valence,26000.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"44.930219, 4.89317",44.930219,4.89317
Bp,10548,Banque De Savoie,1882,La Toussuire/01882,LA RESIDENCE,Fontcouverte La Toussuire,73300.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"45.249186, 6.293843",45.249186,6.293843
Ce,14445,Ce Bretagne-Pays De Loire,193,Nantes Chantenay/00193,9 BOULEVARD DE L EGALITE,Nantes,44100.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"47.207308, -1.587694",47.207308,-1.587694
Ce,17515,Ce Ile-De-France,47,Paris Anvers/00047,74 BOULEVARD DE ROCHECHOUART,Paris,75018.0,Sas,TLJ {06:00-22:00},Gvv,disponible,"48.882957, 2.34351",48.882957,2.34351
