Réseau;Code Etablissement;Etablissement;Code agence;Agence;Adresse;Ville;Code postal;Emplacement;Horaires Automate;Typologie;Etat de fonctionnement;latitude;longitude;Etat_num;quartier;jours_hors_service;hors_service_Xj;score_performance;nb_incidents_30j;multi_incidents_30j;distance_centre
BP;10207;Bp Rives De Paris;117;Diderot/00117;80 AVENUE DE FRANCE;PARIS;75013.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;48.828436;2.379077;;Paris;;;;;;3.205923343686138
BP;10207;Bp Rives De Paris;87;Odeon/00087;110 BOULEVARD SAINT GERMAIN;PARIS;75006.0;Sas;TLJ {06:00-22:00};Cge;disponible;48.851896;2.341723;;Paris;;;;;;0.6412626509179628
BP;10207;Bp Rives De Paris;23;Plaisance/00023;47 RUE DE GERGOVIE;PARIS;75014.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;48.832844;2.316487;;Paris;;;;;;3.107125644480167
BP;10207;Bp Rives De Paris;58;Ballancourt/00058;1 PLACE HENRY VAUTRAVERS;BALLANCOURT SUR ESSONNE;91610.0;Sas;TLJ {06:00-22:00};Gab;disponible;48.524779;2.385;;Autre;;;;;;36.254077491865594
CE;17515;Ce Ile-De-France;260;Evry Le Parc/00260;CENTRE COMMERCIAL DU PARC;EVRY;91000.0;Sas;TLJ {06:00-22:00};Gvv;disponible;48.63701;2.441972;;Autre;;;;;;24.624854822589135
CE;17515;Ce Ile-De-France;260;Evry Le Parc/00260;CENTRE COMMERCIAL DU PARC;EVRY;91000.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;48.63701;2.441972;;Autre;;;;;;24.624854822589135
CE;17515;Ce Ile-De-France;130;Paris Bibliotheque Nationale/00130;26 RUE NEUVE TOLBIAC;PARIS;75013.0;Interne;Lun au Mer et Ven {10:30-17:00} Jeu {10:30-16:15};Udv;disponible;48.831361;2.377775;;Paris;;;;;;2.9029758639678658
BP;10548;Banque De Savoie;3000;Pontcharra/03000;15 AVENUE DU DAUPHINE;PONTCHARRA;38530.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;45.431438;6.021383;;Autre;;;;;;470.6252809760774
BP;16607;Bp Sud;7290;Banyuls Sur Mer/07290;3 AVENUE GENERAL DE GAULLE;BANYULS SUR MER;66650.0;Sas;TLJ {07:00-22:00};Gvp;disponible;42.480207;3.129156;;Autre;;;;;;710.8608249961818
BP;10207;Bp Rives De Paris;10207;Sevran/00202;7 AVENUE ROBERT BALLANGER;SEVRAN;93270.0;Sas;TLJ {06:00-22:00};Gab;disponible;48.938238;2.530722;;Autre;;;;;;16.456548990616838
