﻿Réseau;Code Etablissement;Etablissement;Code agence;Agence;Adresse;Ville;Code postal;Emplacement;Horaires Automate;Typologie;Etat de fonctionnement;point_geographique
BP;10207;BP RIVES DE PARIS;117;DIDEROT/00117;80 AVENUE DE FRANCE;PARIS;75013;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;48.828436, 2.379077
BP;10207;BP RIVES DE PARIS;87;ODEON/00087;110 BOULEVARD SAINT GERMAIN;PARIS;75006;SAS;TLJ {06:00-22:00};CGE;Disponible;48.851896, 2.341723
BP;10207;BP RIVES DE PARIS;87;ODEON/00087;110 BOULEVARD SAINT GERMAIN;PARIS;75006;SAS;TLJ {06:00-22:00};DVV;Disponible;48.851896, 2.341723
BP;10207;BP RIVES DE PARIS;23;PLAISANCE/00023;47 RUE DE GERGOVIE;PARIS;75014;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;48.832844, 2.316487
BP;10207;BP RIVES DE PARIS;58;BALLANCOURT/00058;1 PLACE HENRY VAUTRAVERS;BALLANCOURT SUR ESSONNE;91610;SAS;TLJ {06:00-22:00};GAB;Disponible;48.524779, 2.385
CE;17515;CE ILE-DE-FRANCE;260;EVRY LE PARC/00260;CENTRE COMMERCIAL DU PARC;EVRY;91000;SAS;TLJ {06:00-22:00};GVV;Disponible;48.63701, 2.441972
CE;17515;CE ILE-DE-FRANCE;260;EVRY LE PARC/00260;CENTRE COMMERCIAL DU PARC;EVRY;91000;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;48.63701, 2.441972
CE;17515;CE ILE-DE-FRANCE;130;PARIS BIBLIOTHEQUE NATIONALE/00130;26 RUE NEUVE TOLBIAC;PARIS;75013;Interne;Lun au Mer et Ven {10:30-17:00} Jeu {10:30-16:15};UDV;Disponible;48.831361, 2.377775
BP;10548;BANQUE DE SAVOIE;3000;PONTCHARRA/03000;15 AVENUE DU DAUPHINE;PONTCHARRA;38530;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;45.431438, 6.021383
BP;16607;BP SUD;7290;BANYULS SUR MER/07290;3 AVENUE GENERAL DE GAULLE;BANYULS SUR MER;66650;SAS;TLJ {07:00-22:00};GVP;Disponible;42.480207, 3.129156
BP;10207;BP RIVES DE PARIS;10207;SEVRAN/00202;7 AVENUE ROBERT BALLANGER;SEVRAN;93270;SAS;TLJ {06:00-22:00};GAB;Disponible;48.938238, 2.530722
CE;17515;CE ILE-DE-FRANCE;17515;PARIS SAINT GERMAIN DES PRES/00005;15 RUE DU FOUR;PARIS;75006;Interne;Mar et Mer et Ven {09:30-13:00 14:15-18:15} Jeu {09:30-13:00 15:15-18:15} Sam {09:00-13:00};CAR;Disponible;48.852733, 2.334873
CE;17515;CE ILE-DE-FRANCE;17515;PARIS SAINT GERMAIN DES PRES/00005;15 RUE DU FOUR;PARIS;75006;Interne;Mar et Mer et Ven {09:30-13:00 14:15-18:15} Jeu {09:30-13:00 15:15-18:15} Sam {09:00-13:00};GAB;Disponible;48.852733, 2.334873
CE;17515;CE ILE-DE-FRANCE;17515;PARIS MOUFFETARD/00003;2 RUE CLAUDE BERNARD;PARIS;75005;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;48.838819, 2.350044
CE;17515;CE ILE-DE-FRANCE;17515;PARIS MOUFFETARD/00003;2 RUE CLAUDE BERNARD;PARIS;75005;Interne;Mar et Mer et Ven {09:00-12:30 13:45-18:00} Jeu {09:00-12:30 14:45-18:00} Sam {09:00-13:00};UDV;Disponible;48.838819, 2.350044
CE;17515;CE ILE-DE-FRANCE;65;LEVALLOIS PERRET/00065;52 RUE DU PRESIDENT WILSON;LEVALLOIS-PERRET;92300;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;48.892075, 2.290442
CE;17515;CE ILE-DE-FRANCE;65;LEVALLOIS PERRET/00065;52 RUE DU PRESIDENT WILSON;LEVALLOIS-PERRET;92300;Interne;Mar au Ven {09:30-12:15 14:00-18:30} Sam {09:00-12:15};CAR;Disponible;48.892075, 2.290442
CE;17515;CE ILE-DE-FRANCE;65;LEVALLOIS PERRET/00065;52 RUE DU PRESIDENT WILSON;LEVALLOIS-PERRET;92300;Interne;Mar au Ven {09:30-12:15 14:00-18:30} Sam {09:00-12:15};UDV;Disponible;48.892075, 2.290442
BP;16807;BP AUVERGNE RHONE ALPES;8;BOURG SAINT MAURICE/00008;13 PLACE DE LA GARE;BOURG-SAINT-MAURICE;73700;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;45.619052, 6.770764
CE;14445;CE BRETAGNE-PAYS DE LOIRE;323;ANGERS MONPLAISIR/00323;PLACE DE L EUROPE;ANGERS;49100;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;47.487847, -0.526513
BP;16807;BP AUVERGNE RHONE ALPES;110;VALENCE CENTRE/00110;26 BOULEVARD GENERAL DE GAULLE;VALENCE;26000;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;44.930219, 4.89317
BP;10548;BANQUE DE SAVOIE;1882;LA TOUSSUIRE/01882;LA RESIDENCE;FONTCOUVERTE LA TOUSSUIRE;73300;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;45.249186, 6.293843
CE;14445;CE BRETAGNE-PAYS DE LOIRE;193;NANTES CHANTENAY/00193;9 BOULEVARD DE L EGALITE;NANTES;44100;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;47.207308, -1.587694
CE;17515;CE ILE-DE-FRANCE;47;PARIS ANVERS/00047;74 BOULEVARD DE ROCHECHOUART;PARIS;75018;SAS;TLJ {06:00-22:00};GVV;Disponible;48.882957, 2.34351
CE;17515;CE ILE-DE-FRANCE;47;PARIS ANVERS/00047;74 BOULEVARD DE ROCHECHOUART;PARIS;75018;Interne;Mar et Mer et Ven {09:30-13:15 14:00-17:30} Jeu {09:30-13:00 15:15-18:15} Sam {09:00-13:00};CAR;Disponible;48.882957, 2.34351
CE;17515;CE ILE-DE-FRANCE;25;PARIS AUTEUIL/00025;48B RUE D AUTEUIL;PARIS;75016;Interne;Mar et Mer et Ven {09:15-12:45 14:00-17:30} Jeu {09:15-12:45 15:00-18:30} Sam {09:00-13:00 14:00-16:15};GVV;Disponible;48.847833, 2.264346
CE;17515;CE ILE-DE-FRANCE;254;BALLANCOURT/00254;3 PLACE HENRI VAUTRAVERS;BALLANCOURT-SUR-ESSONNE;91610;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00};UDV;Disponible;48.524593, 2.385453
BP;10548;BANQUE DE SAVOIE;1580;COURCHEVEL/01580;110 RUE DE LA CROISETTE;COURCHEVEL;73120;Dans la rue;TLJ {00:00-23:59};GAB;Hors service;45.415175, 6.633536
BP;16807;BP AUVERGNE RHONE ALPES;4;MODANE/00004;7 RUE DE LA REPUBLIQUE;MODANE;73500;SAS;TLJ {06:00-22:00};GAB;Disponible;45.19248, 6.655335
CE;14445;CE BRETAGNE-PAYS DE LOIRE;118;SAINTE PAZANNE/00118;21 PLACE DE RETZ;SAINTE-PAZANNE;44680;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;47.10342, -1.810439
BP;16807;BP AUVERGNE RHONE ALPES;2;ALBERTVILLE/00002;41 RUE DE LA REPUBLIQUE;ALBERTVILLE;73200;SAS;TLJ {06:00-22:00};GAB;Disponible;45.676972, 6.390956
BP;10548;BANQUE DE SAVOIE;1880;VALLOIRE/01880;NOUVELLE AVENUE;VALLOIRE;73450;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;45.164276, 6.427243
BP;10548;BANQUE DE SAVOIE;1200;ALBERTVILLE SAUVAY/01200;735  AV JOSEPH FONTANET B.P. 24;ALBERTVILLE-CEDEX;73201;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;
CE;17515;CE ILE-DE-FRANCE;256;BRETIGNY SUR ORGE/00256;7-9 BOULEVARD DE LA REPUBLIQUE;BRETIGNY-SUR-ORGE;91220;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:45} Sam {08:45-12:30};UDV;Disponible;48.607433, 2.304659
CE;17515;CE ILE-DE-FRANCE;100;PARIS DIDEROT/00100;25B BOULEVARD DIDEROT;PARIS;75012;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00};UDV;Disponible;48.846747, 2.381364
CE;17515;CE ILE-DE-FRANCE;100;PARIS DIDEROT/00100;25B BOULEVARD DIDEROT;PARIS;75012;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;48.846747, 2.381364
CE;17515;CE ILE-DE-FRANCE;615;ARGENTEUIL CENTRE/00615;19 AVENUE GABRIEL PERI;ARGENTEUIL;95100;Dans la rue;TLJ {00:00-23:59};GAB;Service dégradé;48.943418, 2.251582
CE;17515;CE ILE-DE-FRANCE;615;ARGENTEUIL CENTRE/00615;19 AVENUE GABRIEL PERI;ARGENTEUIL;95100;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00};CAR;Disponible;48.943418, 2.251582
CE;17515;CE ILE-DE-FRANCE;172;LA DEFENSE/00172;14 PLACE DE LA DEFENSE;COURBEVOIE;92200;Interne;Mar et Mer et Ven {09:30-13:15 14:00-17:30} Jeu {09:30-13:15 15:00-18:30} Sam {09:00-13:00 13:45-16:15};UDV;Disponible;
CE;17515;CE ILE-DE-FRANCE;172;LA DEFENSE/00172;14 PLACE DE LA DEFENSE;COURBEVOIE;92200;Dans la rue;TLJ {00:00-23:59};GAB;Service dégradé;
CE;17515;CE ILE-DE-FRANCE;172;LA DEFENSE/00172;14 PLACE DE LA DEFENSE;COURBEVOIE;92200;SAS;TLJ {06:00-22:00};GVV;Disponible;
CE;17515;CE ILE-DE-FRANCE;321;DAMMARIE LES LYS/00321;CENTRE COMMERCIAL CHAMPLYS LECLERCLES TERRASSES;DAMMARIE-LES-LYS;77190;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-18:30} Sam {09:00-13:00 13:45-16:15};GVV;Disponible;48.528541, 2.646343
CE;17515;CE ILE-DE-FRANCE;62;ISSY LES MOULINEAUX/00062;4 AVENUE VICTOR CRESSON;ISSY-LES-MOULINEAUX;92130;Interne;Mar et Mer et Ven {09:30-13:15 14:00-17:30} Jeu {09:30-13:15 15:00-18:30} Sam {09:00-13:00 13:45-16:15};UDV;Disponible;48.823921, 2.272415
CE;17515;CE ILE-DE-FRANCE;98;ROMAINVILLE/00098;16 BOULEVARD EMILE GENEVOIX;ROMAINVILLE;93230;SAS;TLJ {06:00-22:00};GVV;Disponible;48.882369, 2.434332
BP;18707;BP VAL DE FRANCE;540;ISSOUDUN/00540;15  BOULEVARD MARX DORMOY;ISSOUDUN;36100;Dans la rue;TLJ {00:00-23:59};GAB;Service dégradé;46.949982, 1.992453
CE;17515;CE ILE-DE-FRANCE;616;ARGENTEUIL JEAN JAURES/00616;178 AVENUE JEAN JAURES;ARGENTEUIL;95100;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00};CAR;Disponible;48.940594, 2.22263
CE;17515;CE ILE-DE-FRANCE;630;GARCHES/00630;18 PLACE SAINT LOUIS;GARCHES;92380;SAS;TLJ {06:00-22:00};GVV;Disponible;48.84516, 2.187782
CE;17515;CE ILE-DE-FRANCE;421;LA FERTE GAUCHER/00421;6 RUE DE PARIS;LA FERTE-GAUCHER;77320;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;48.779887, 3.304705
CE;17515;CE ILE-DE-FRANCE;35;PARIS GAMBETTA/00035;1 PLACE GAMBETTA;PARIS;75020;SAS;TLJ {06:00-22:00};GVV;Disponible;48.864502, 2.398543
CE;14445;CE BRETAGNE-PAYS DE LOIRE;22145;LAMBALLE/22145;8 RUE DES AUGUSTINS;LAMBALLE;22400;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;48.469337, -2.517198
BP;10548;BANQUE DE SAVOIE;2000;RUMILLY/02000;PLACE D'ARMESB.P. 9;RUMILLY;74150;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;45.863826, 5.945732
BP;10548;BANQUE DE SAVOIE;1300;BOURG ST MAURICE/01300;68 PLACE MARCEL GAIMARDB.P. 15;BOURG-SAINT-MAURICE;73703;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;
